Tau,Fidelity,Params
0.2,0.8265644836808597,"{'Delta0': np.float64(-45.60326573879085), 'delta0': np.float64(1475.2182767944446), 'Omega0': np.float64(129.54633714185684), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
0.6,0.9355826179955956,"{'Delta0': np.float64(-238.60592603239448), 'delta0': np.float64(1352.0933142258514), 'Omega0': np.float64(205.28386278732728), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
1.0,0.9376224363209548,"{'Delta0': np.float64(-733.8730339781936), 'delta0': np.float64(856.5789572853787), 'Omega0': np.float64(159.48945428408254), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
1.5,0.93852572477348,"{'Delta0': np.float64(-1570.685413850245), 'delta0': np.float64(18.002076338362667), 'Omega0': np.float64(156.92705955026895), 'tau': np.float64(1.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
2.0,0.9330857388439088,"{'Delta0': np.float64(-1570.6651207865623), 'delta0': np.float64(0.673609591209151), 'Omega0': np.float64(180.47740929971823), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
2.5,0.941019093184635,"{'Delta0': np.float64(-348.2867424421081), 'delta0': np.float64(1195.0756357984023), 'Omega0': np.float64(83.85554209612742), 'tau': np.float64(2.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
3.0,0.9399938370655564,"{'Delta0': np.float64(-488.6702730494214), 'delta0': np.float64(1054.3137099037897), 'Omega0': np.float64(83.31609202042102), 'tau': np.float64(3.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
3.5,0.9392890493940144,"{'Delta0': np.float64(-659.9698360826688), 'delta0': np.float64(882.8778479273752), 'Omega0': np.float64(82.91209181169651), 'tau': np.float64(3.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
4.0,0.9387824299825724,"{'Delta0': np.float64(-855.7307013407057), 'delta0': np.float64(686.998203327984), 'Omega0': np.float64(82.64511617173135), 'tau': np.float64(4.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
4.5,0.938409189865335,"{'Delta0': np.float64(-1076.054604831226), 'delta0': np.float64(466.5718683047227), 'Omega0': np.float64(82.50488067777215), 'tau': np.float64(4.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
5.0,0.9381250895812266,"{'Delta0': np.float64(-1323.2311381953105), 'delta0': np.float64(219.32974201994105), 'Omega0': np.float64(82.41145897644022), 'tau': np.float64(5.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
